%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570512699882043481,6558,1570512699820803000,/map,-18010.9042969,-93642.828125,40.1270446777,-0.00214358079821,-0.0134508420498,-0.292388267191,0.956202688304
1570512699984587739,6559,1570512699921052000,/map,-18010.4589844,-93643.1015625,40.1259078979,-0.00266032423803,-0.0130533015846,-0.293354642602,0.95591086805
1570512700083095053,6560,1570512700021303000,/map,-18010.0136719,-93643.40625,40.1435585022,-0.000870676188552,-0.0131133118296,-0.293936636054,0.955734553608
1570512700180900995,6561,1570512700121449000,/map,-18009.5722656,-93643.7265625,40.1452636719,-0.00115151636108,-0.012936720589,-0.295127315919,0.955369657603
1570512700289230107,6562,1570512700224890000,/map,-18009.1328125,-93643.9921875,40.1941413879,0.00137997373235,-0.0130903001089,-0.296159213905,0.955047883477
1570512700393619336,6563,1570512700321966000,/map,-18008.7695312,-93644.25,40.2052650452,0.000408909107685,-0.0128910366655,-0.29689606199,0.954822696809
1570512700489012750,6564,1570512700423828000,/map,-18008.3710938,-93644.5078125,40.2159614563,-0.000628622426879,-0.0134936111507,-0.297811764186,0.954529035915
1570512700606300794,6565,1570512700522440000,/map,-18007.9160156,-93644.8515625,40.2282943726,-0.00273817926185,-0.0156638181886,-0.298617187928,0.954240494974
1570512700692278967,6566,1570512700622584000,/map,-18007.4492188,-93645.1484375,40.2389907837,-0.000995053140333,-0.0180335688932,-0.299499204213,0.953925587736
1570512700782784565,6567,1570512700722832000,/map,-18006.9863281,-93645.46875,40.2330856323,-0.00165968088037,-0.0186914617396,-0.300427079404,0.953620178414
1570512700892533486,6568,1570512700823101000,/map,-18006.5195312,-93645.796875,40.2449645996,-0.00119722538952,-0.0193773612963,-0.301606489711,0.953234813614
1570512701000484407,6569,1570512700923228000,/map,-18006.0644531,-93646.125,40.2521896362,-0.000712203168391,-0.0199689178167,-0.302630021051,0.952898633353
1570512701082334966,6570,1570512701023573000,/map,-18005.5878906,-93646.453125,40.2593002319,0.000575684678815,-0.0203789958687,-0.303453159874,0.952628230149
1570512701187297944,6571,1570512701128538000,/map,-18005.0800781,-93646.7890625,40.2916297913,0.0017898796459,-0.0205703302849,-0.304487824653,0.952292403877
1570512701338351147,6572,1570512701223970000,/map,-18004.4765625,-93647.171875,40.3106422424,0.00233899407004,-0.0212530510697,-0.305907547973,0.951821101374
1570512701404357118,6573,1570512701324214000,/map,-18003.9179688,-93647.546875,40.3436737061,0.00208398864957,-0.0219315464402,-0.307188857366,0.951393541166
1570512701493594382,6574,1570512701424363000,/map,-18003.3808594,-93647.921875,40.3549156189,0.00293279340563,-0.0220371575151,-0.307448785189,0.951304896917
1570512701603000200,6575,1570512701524633000,/map,-18002.8359375,-93648.3125,40.3687210083,0.00291977249968,-0.0213800795837,-0.307557684404,0.951284730188
1570512701692281686,6576,1570512701625241000,/map,-18002.3125,-93648.7109375,40.3934516907,0.00286866403971,-0.0200789722485,-0.307531715855,0.951321632984
1570512701786271980,6577,1570512701725032000,/map,-18001.7773438,-93649.09375,40.4141998291,0.00168519961869,-0.0184667339974,-0.307831865924,0.951260049702
1570512701875127502,6578,1570512701825354000,/map,-18001.21875,-93649.46875,40.4287223816,0.00191989395896,-0.0184458971482,-0.307980617569,0.951211859728
1570512701993530213,6579,1570512701925500000,/map,-18000.6835938,-93649.859375,40.4484901428,6.24666291555e-05,-0.0183811710019,-0.308019367736,0.951202500917
