%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570518490375522955,78016,1570518490374145984,map,-22856.9498786,-93134.463817,29.457,0.0,0.0,-0.681417879762,0.731894577887
1570518490418700086,78017,1570518490418342113,map,-22856.9942572,-93135.1550426,28.874,0.0,0.0,-0.729407608061,0.684079338456
1570518490505102796,78018,1570518490504839897,map,-22856.9391588,-93135.8967904,28.874,0.0,0.0,-0.680412460617,0.732829368569
1570518490549752927,78019,1570518490549534082,map,-22856.8862078,-93136.6411212,28.869,0.0,0.0,-0.681557132251,0.731764904513
1570518490592957031,78020,1570518490592711925,map,-22856.8333176,-93137.3854888,28.873,0.0,0.0,-0.681588154453,0.731736009576
1570518490637529752,78021,1570518490636647939,map,-22856.8674464,-93138.1184882,28.407,0.0,0.0,-0.723363683799,0.690467219324
1570518490682162290,78022,1570518490681191921,map,-22856.812847,-93138.8654486,28.411,0.0,0.0,-0.68084470656,0.732427802277
1570518490725174727,78023,1570518490724479913,map,-22856.7566117,-93139.6139846,28.413,0.0,0.0,-0.68010444237,0.733115234782
1570518490769275209,78024,1570518490768999099,map,-22856.7036264,-93140.3628083,28.409,0.0,0.0,-0.681695849267,0.731635680576
1570518490814027270,78025,1570518490813258886,map,-22856.6113286,-93140.9782967,27.716,0.0,0.0,-0.652571630301,0.757727040118
1570518490900141228,78026,1570518490899919986,map,-22856.5547321,-93141.7281094,27.716,0.0,0.0,-0.679975462108,0.733234867509
1570518490944768413,78027,1570518490944361925,map,-22856.4991104,-93142.4791584,27.709,0.0,0.0,-0.680493812855,0.732753826784
1570518490989386871,78028,1570518490989002943,map,-22856.4437213,-93143.2320742,27.71,0.0,0.0,-0.680673203252,0.732587189606
1570518491033537762,78029,1570518491033252000,map,-22856.3643291,-93144.0762193,28.35,0.0,0.0,-0.673187494469,0.739471836713
1570518491076270540,78030,1570518491076040983,map,-22856.3073106,-93144.8333177,28.348,0.0,0.0,-0.68003705993,0.733177739107
1570518491120133577,78031,1570518491119913101,map,-22856.246609,-93145.5930323,28.348,0.0,0.0,-0.678363250725,0.734726683921
1570518491196604853,78032,1570518491196382045,map,-22856.1857227,-93146.3517305,28.339,0.0,0.0,-0.678235265346,0.734844830452
1570518491240487264,78033,1570518491240134000,map,-22856.1570085,-93146.8988899,26.308,0.0,0.0,-0.688328926568,0.725398710262
1570518491327966793,78034,1570518491327606916,map,-22856.0936124,-93147.6618099,26.309,0.0,0.0,-0.677195941073,0.735802729945
1570518491372365797,78035,1570518491372018098,map,-22856.0324304,-93148.4297348,26.313,0.0,0.0,-0.678446724044,0.734649605345
1570518491416679259,78036,1570518491415636062,map,-22855.9693532,-93149.1987183,26.316,0.0,0.0,-0.67758682814,0.735442785219
1570518491459927330,78037,1570518491459640026,map,-22855.9127905,-93150.1546454,27.59,0.0,0.0,-0.685905510137,0.727690615004
1570518491506927279,78038,1570518491504023075,map,-22855.8492978,-93150.9274756,27.583,0.0,0.0,-0.67753959733,0.735486297663
1570518491547967963,78039,1570518491547619104,map,-22855.7842325,-93151.7028983,27.576,0.0,0.0,-0.676898975339,0.73607593167
1570518491591721506,78040,1570518491591469049,map,-22855.7181975,-93152.4791185,27.571,0.0,0.0,-0.676473820674,0.736466679452
1570518491679449117,78041,1570518491678993940,map,-22855.7994566,-93153.2182853,26.682,0.0,0.0,-0.744739897383,0.667354842078
1570518491731987361,78042,1570518491724564075,map,-22855.732902,-93153.9992029,26.679,0.0,0.0,-0.676417657067,0.736518264002
1570518491767452138,78043,1570518491767075061,map,-22855.662651,-93154.7834579,26.68,0.0,0.0,-0.674826087698,0.737976795952
1570518491811331669,78044,1570518491811022043,map,-22855.5901293,-93155.570455,26.684,0.0,0.0,-0.673883868538,0.738837283659
1570518491855153606,78045,1570518491854918003,map,-22855.5434002,-93156.494168,27.919,0.0,0.0,-0.689012417154,0.724749535362
1570518491942714204,78046,1570518491942423105,map,-22855.4715981,-93157.2835298,27.915,0.0,0.0,-0.674318843067,0.738440314368
1570518491943423867,78047,1570518491942917108,map,-22855.3976271,-93158.0738216,27.91,0.0,0.0,-0.673352696778,0.739321408957
1570518492030569429,78048,1570518492030308008,map,-22855.3220236,-93158.8670387,27.911,0.0,0.0,-0.672724881867,0.739892717438
1570518492075289068,78049,1570518492074918031,map,-22854.9123767,-93159.5204899,27.712,0.0,0.0,-0.484172230974,0.874972714291
1570518492118986181,78050,1570518492118741035,map,-22854.8338834,-93160.3177818,27.709,0.0,0.0,-0.671574170546,0.740937334364
1570518492152317767,78051,1570518492152112960,map,-22854.7584199,-93161.1183756,27.719,0.0,0.0,-0.673110905924,0.739541552805
1570518492202343778,78052,1570518492197139024,map,-22854.6849642,-93161.9203881,27.732,0.0,0.0,-0.67408921682,0.738649935874
1570518492241438310,78053,1570518492241110086,map,-22854.5195153,-93162.6398575,27.079,0.0,0.0,-0.622852157499,0.782339561762
1570518492328550992,78054,1570518492328274965,map,-22854.4434397,-93163.4446129,27.074,0.0,0.0,-0.673010787804,0.739632665246
1570518492328826565,78055,1570518492328608036,map,-22854.364346,-93164.2507441,27.09,0.0,0.0,-0.671697010035,0.740825975996
1570518492416519200,78056,1570518492416163921,map,-22854.2844678,-93165.0588555,27.116,0.0,0.0,-0.671429000685,0.741068888187
1570518492460706601,78057,1570518492460477113,map,-22854.1542357,-93165.7265597,27.778,0.0,0.0,-0.635831282938,0.771828076476
1570518492505563448,78058,1570518492504717111,map,-22854.0726033,-93166.5435132,27.773,0.0,0.0,-0.671033580358,0.741426957988
1570518492548408303,78059,1570518492548192024,map,-22853.9935632,-93167.3648791,27.783,0.0,0.0,-0.672388420661,0.740198494839
1570518492594010282,78060,1570518492592377901,map,-22853.9143415,-93168.1865043,27.803,0.0,0.0,-0.672318521028,0.740261984897
